ticker,marketCap
AACI,209580139.99999997
AADI,312989351.11
AAL,8266739282.64
AAME,47679683.089
AAOI,53909828.91
AAON,4006989126.8399997
AAPL,2066941771740.0
AAWW,2859111158.4
ABCB,3269239562.26
ABCL,2898197325.51
ABEO,52901460.92
ABGI,195065429.5
ABIO,34152038.910000004
ABNB,54136649146.5
ABOS,220996533.60000002
ABSI,194029308.9
ABST,545453209.4399999
ABUS,364568308.05
ABVC,20395205.625
ACAB,382125000.0
ACAC,110184375.0
ACAD,2577941424.48
ACAH,431896875.0
ACAX,113112750.00000001
ACB,299229241.0758
ACBA,64293479.99999999
ACCD,560404108.9
ACDC,1359764128.8
ACER,48974808.76
ACET,383090997.47999996
ACGL,23220628635.06
ACHC,7489203014.16
ACHV,43847721.050000004
ACIU,170163535.92000002
ACIW,2584605059.0
ACLS,2606866641.92
ACLX,1358593605.14
ACMR,458439121.17
ACNB,338800536.78000003
ACNT,88453776.27
ACON,4536478.699999999
ACOR,18659801.9938
ACQR,624845440.8
ACRS,1050260258.25
ACRV,240593610.23999998
ACRX,16835567.16
ACST,22351028.331
ACT,3927763849.6800003
ACTG,183304561.96
ACVA,1298942974.3500001
ACXP,46138583.82
ADAL,309723750.0
ADBE,156452797000.0
ADD,5982368.819999999
ADEA,995960068.9200001
ADER,348390625.0
ADES,46439511.300000004
ADI,83539813202.23
ADIL,5773601.83
ADMA,857104342.28
ADMP,25392166.7645
ADN,93609073.2
ADOC,50721079.4375
ADP,99085760903.34001
ADPT,1092612879.48
ADSE,152280641.76
ADSK,40320471603.78
ADTH,144257879.42
ADTN,1467226826.85
ADTX,4959737.8618
ADUS,1602820114.36
ADV,664943680.96
ADVM,57792969.987500004
AEAC,303300000.0
AEAE,292387500.0
AEHA,137540000.0
AEHL,3611733.9699999997
AEHR,552656655.6
AEI,17078325.7
AEIS,3206723604.7
AEMD,6319392.2928
AEP,48791356226.1
AERC,48505397.16
AEY,20328480.9
AEYE,44078232.910000004
AEZS,15441685.680000002
AFAR,148594950.0
AFBI,100176253.89999999
AFCG,320325720.0
AFIB,32720084.049999997
AFMD,185180775.4
AFRI,297781054.2
AFRM,2805751109.21
AFYA,1404808848.52
AGAE,41039743.5
AGBA,94575250.0
AGEN,731548044.0
AGFS,157034961.92
AGFY,2949168.546
AGGR,390987500.0
AGIL,202622204.4
AGIO,1542851556.48
AGLE,27673833.992200002
AGMH,40020489.3
AGNC,5916282949.349999
AGRI,17756363.479999997
AGRX,9219497.629
AGYS,1983602234.94
AHCO,2589542601.2999997
AHPI,3693256.7474
AHRN,383809941.25
AIB,114772694.99999999
AIHS,6942275.6688
AIMC,3894136999.75
AIMD,12407193.24
AIP,143728347.1
AIRG,66555219.36
AIRS,207838053.9
AIRT,70285782.72
AKAM,13255525215.6
AKAN,5071569.471
AKBA,106146121.89099999
AKLI,87257795.52000001
AKRO,2562622592.7999997
AKTS,162064009.73999998
AKU,64448695.5444
AKYA,363237551.49
ALBO,447354725.63
ALBT,51991908.28
ALCO,181243406.19
ALDX,407578142.88
ALEC,763335204.97
ALGM,5743070392.82
ALGN,16473894825.9
ALGS,40798978.569699995
ALGT,1250918706.31
ALHC,2202189136.56
ALIM,18992986.22
ALKS,4293481862.2799997
ALKT,1334663976.23
ALLK,717414286.74
ALLO,907081868.66
ALLR,4239052.7556
ALLT,128436266.56
ALNY,29237659810.100002
ALOR,229944825.0
ALOT,94220679.74000001
ALPA,196055212.79029998
ALPN,337471082.55
ALPP,105460585.3212
ALPS,175236774.62
ALR,17934953.85
ALRM,2469587571.52
ALRN,10762594.23
ALRS,466702847.90000004
ALSA,150565500.0
ALT,808666471.1999999
ALTO,216447526.07999998
ALTR,3644075746.46
ALTU,124546105.92
ALVO,2486495050.0
ALVR,477925989.93
ALXO,459313944.03999996
ALYA,141825484.5
ALZN,54471964.79759999
AMAL,706689861.12
AMAO,33721768.08
AMAT,82202326128.36
AMBA,3186976680.03
AMCI,187125000.0
AMCX,673496364.95
AMD,104432308612.73999
AMED,2714380677.52
AMEH,1347757774.55
AMGN,140139242663.84
AMKR,5874492202.92
AMLX,2448167255.1000004
AMNB,391855477.59
AMOT,553123972.8100001
AMPG,20420079.560000002
AMPH,1354239831.72
AMPL,1366730463.1200001
AMRK,814534463.4699999
AMRS,505142475.93
AMSC,107602206.4
AMSF,995530719.81
AMST,5305583.4055
AMSWA,495309806.0
AMTB,906502399.88
AMTI,16356100.74
AMTX,138773752.92
AMV,31544561.75
AMWD,812142467.22
AMZN,856938950784.0
ANAB,881096275.68
ANDE,1172266960.8600001
ANEB,62127228.0429
ANGH,41479018.13
ANGI,1185507987.4
ANGN,24440281.3548
ANGO,538513731.27
ANIK,432446202.40000004
ANIP,702166575.15
ANIX,130312191.0
ANNX,246249131.81
ANSS,21045444853.65
ANTX,184907330.73999998
ANY,18901249.1625
ANZU,532312500.0
AOGO,136041088.25
AOSL,783045845.75
AOUT,133565337.47999999
APA,15008170870.68
APAC,256750000.0
APCX,38888294.31
APDN,21428143.2
APEI,232192401.39
APEN,415333360.67
APGN,15389566.654000001
APLD,173399644.08
APLS,5717861535.37
APLT,36524806.56
APM,19642575.8282
APMI,185625000.0
APOG,987629549.4
APP,3913892025.0299997
APPF,3705279563.2599998
APPH,61224829.462400004
APPN,2362149823.44
APPS,1509016489.2
APRE,17542276.434
APTM,362860325.0
APTO,53530945.72
APTX,19319294.345399998
APVO,11812878.559999999
APWC,29687366.88
APXI,221554687.5
APYX,80958903.47999999
AQB,54328584.732
AQMS,97983432.5
AQST,48854140.2294
AQU,70543204.8
ARAV,78971482.92
ARAY,195997627.20999998
ARBE,215310850.92000002
ARBG,
ARCB,1710228315.2
ARCC,9557473141.71
ARCE,767493886.5
ARCK,233953125.0
ARCT,450380991.68
ARDS,30648767.759999998
ARDX,534259988.25
AREB,3267488.197898
AREC,90688255.68
ARHS,1365616365.75
ARIZ,89904028.89999999
ARKO,1039845533.72
ARKR,59622739.919999994
ARLP,2584606850.08
AROW,560321540.1
ARQQ,442857641.66999996
ARQT,901731795.2
ARRW,360632812.5
ARRY,2908981693.6099997
ARTE,256845312.50000003
ARTL,8252938.32
ARTNA,555982018.46
ARTW,9418587.209999999
ARVL,101816009.1575
ARVN,1820913493.41
ARWR,4616269151.52
ARYD,193783650.0
ARYE,193591785.0
ASAP,3616039.4639999997
ASCA,88678800.0
ASCB,258819000.0
ASLE,839785066.3
ASMB,63413980.5
ASNS,8263945.3584
ASO,4105732678.22
ASPA,
ASPI,54284260.660000004
ASPS,152527676.18
ASPU,7844662.53
ASRT,207662535.9
ASRV,67431590.98
ASTC,16887895.2
ASTE,923488176.3399999
ASTI,55307223.559999995
ASTL,658437999.16
ASTR,116026811.532
ASTS,343234561.8
ASUR,188300209.48
ASYS,106401170.39999999
ATAI,441228316.62
ATAK,258307500.0
ATCX,194263422.95000002
ATEC,1297470301.3999999
ATER,62294637.0454
ATEX,609931683.14
ATHA,119918896.85
ATHX,14455504.559999999
ATIF,21565492.48
ATLC,378466729.0
ATLO,212305062.87
ATNF,12669484.290000001
ATNI,714236980.71
ATNX,23217989.455
ATOM,148370181.94
ATOS,66920842.135
ATRA,311202037.59999996
ATRC,2064041016.8000002
ATRI,991693377.9000001
ATRO,331362453.6
ATSG,1889483754.06
ATVI,59909968169.45
ATXG,33316153.786
ATXI,5543955.52
ATXS,409422572.31
ATY,88940838.3
AUB,2625362355.98
AUBN,80601660.0
AUDC,568454517.4300001
AUGX,58394238.24
AUID,14427939.463799998
AUPH,613913916.96
AUR,1408747438.01
AURA,388917154.5
AURC,350631122.31
AUUD,12148751.04
AUVI,11598274.326100001
AVAC,266810062.5
AVAH,145016227.20000002
AVAV,2154975688.56
AVCT,37340506.9
AVDX,1975127232.82
AVEO,519708748.65
AVGO,233652677458.2
AVGR,8067673.739999999
AVHI,127750000.00000001
AVID,1161749380.26
AVIR,400613543.59
AVNW,353074199.71000004
AVO,821179996.6999999
AVPT,767217612.72
AVRO,31206547.3352
AVT,3805289209.2599998
AVTE,720928638.9
AVTX,47448025.5704
AVXL,721926406.9
AWH,41440259.7488
AWRE,37031597.55
AXDX,69964232.88
AXGN,422020168.20000005
AXLA,24089209.1175
AXNX,3097109086.63
AXON,11808467189.220001
AXSM,3349459875.06
AXTI,190763821.92
AY,3005827763.3999996
AYLA,5929787.693427
AYRO,14167752.238599999
AYTU,11799165.105
AZ,42390896.93
AZPN,13256523394.4
AZTA,4020326674.56
AZYO,68528572.5
BACK,6534574.021500001
BAFN,67513604.39999999
BAND,581195783.25
BANF,2898526509.88
BANR,2160835112.8
BANX,121028747.03999999
BAOS,7866258.32
BASE,598971636.9
BATRA,1727213208.93
BATRK,1703951078.1699998
BBBY,294423000.0
BBCP,331109023.04999995
BBGI,27194702.1069
BBIG,108177420.752
BBIO,1139061481.08
BBLG,3208826.4642
BBSI,649402114.24
BCAB,310260200.25
BCAN,146925432.8892
BCBP,303878444.79999995
BCDA,41895095.0
BCEL,31277353.2346
BCLI,59928517.559999995
BCML,246458906.20000002
BCOR,1222484723.79
BCOV,220037694.91000003
BCOW,66210770.0
BCPC,3924019747.42
BCRX,2140145625.8000002
BCSA,423137280.0
BCTX,67813738.66
BDSX,175939806.39999998
BDTX,65459170.800000004
BEAM,2756041064.71
BEAT,39062545.6
BECN,3434620023.7599998
BEEM,176369468.14
BELFA,401715107.4459
BELFB,410836629.08000004
BFC,838070944.6199999
BFI,28039072.32
BFIN,136070492.22
BFRI,24472305.2332
BFST,555827711.04
BGCP,1395718263.42
BGFV,195887633.9
BGRY,144360127.6029
BGXX,79506209.85
BHAC,288937500.0
BHAT,3605233.704348
BHF,3544279360.11
BIAF,13391600.0
BIGC,643971380.64
BIIB,39876868795.68
BIMI,4727475.4799999995
BIOC,9041148.1
BIOL,4644593.850000001
BIOR,1175662.7208
BIOS,
BIOT,290372125.0
BIOX,755444216.79
BIRD,361434528.62
BITF,95731680.0
BIVI,252349374.69
BJDX,7655855.333256
BJRI,617083386.9599999
BKCC,262710303.34
BKNG,78171477848.64
BKR,29573336721.97
BKSC,91059111.63509999
BKYI,5362574.121311
BL,4021190246.7099996
BLBD,342986796.81
BLBX,3957512.0999999996
BLCM,6201739.4399999995
BLDE,256518745.98000002
BLDP,1428952043.18
BLEU,347070000.0
BLFS,778341090.8
BLFY,358282697.7
BLI,184556838.56
BLIN,10938489.450000001
BLKB,3125314553.22
BLMN,1766408117.28
BLNG,192236875.0
BLNK,557988666.0500001
BLPH,8590905.9
BLU,1034017769.5200001
BLUE,573737061.6
BLZE,200490000.0
BMAQ,
BMBL,2729699523.85
BMEA,247810353.78
BMRA,44982630.85
BMRC,527021124.24000007
BMRN,19233504213.35
BNFT,360645476.1
BNGO,433509770.0
BNIX,95842080.0
BNNR,197820000.0
BNRG,20888827.074300002
BNSO,14670647.6148
BNTC,4756797.37
BOCN,243828749.99999997
BOKF,6980332411.570001
BOLT,48959160.9
BON,8877329.749799998
BOOM,379656279.36
BOSC,11905776.0
BOTJ,55127304.87
BOXL,23037805.0896
BPAC,294400000.0
BPMC,2621179067.9100003
BPOP,4821094730.24
BPRN,198050544.64
BPTH,12019847.64
BRAC,134392652.52
BRAG,81264906.8
BREZ,50379427.2996
BRFH,16815163.3
BRID,108195837.44
BRIV,220738500.00000003
BRKH,388493000.0
BRKL,1087345882.8
BRKR,10053104185.4
BRLI,22233274.560000002
BRLT,47196103.31999999
BROG,586295018.9
BRP,1544312867.1000001
BRQS,3881150.1129
BRSH,3818684.9375
BRTX,10102479.75
BRY,614140024.0
BRZE,2610870701.12
BSBK,157183957.84
BSET,159126761.2
BSFC,10212983.715599999
BSGA,78542257.5
BSGM,22563884.279999997
BSQR,23182617.1024
BSRR,320500449.0
BSVN,233362918.4
BSY,10658994672.48
BTAI,601938873.0
BTB,83674948.55000001
BTBD,11811569.8158
BTBT,49489709.4
BTCS,8238755.7
BTCY,23362950.912
BTMD,31349594.41
BTOG,17705599.7592
BTTX,26237407.3
BTWN,296981611.52
BUSE,1365345768.48
BVS,202897732.95
BWAC,80475855.71609999
BWAQ,122037695.99999999
BWB,489463949.71999997
BWC,249545044.09999996
BWEN,37005144.35
BWFG,226915041.32999998
BWMN,295386697.70000005
BWMX,239572225.32
BWV,17022452.700000003
BXRX,1764521.58
BYFC,77044033.21
BYND,784667873.0300001
BYNO,244187999.99999997
BYRN,174334959.68
BYSI,73186373.36
BYTS,418234965.12
BZFD,95949661.344
CAAS,175135790.79999998
CABA,269552492.5
CAC,607231901.2099999
CACC,6131482898.4
CACO,66922015.0
CADL,51720338.76
CAKE,1630532512.56
CALA,15860737.819999998
CALB,198054417.14000002
CALM,2664246613.05
CAMP,165618378.24
CAMT,974684300.76
CAPR,97431811.72
CAR,6797588919.16
CARA,577098939.1800001
CARE,399981266.79
CARG,1666284659.79
CARV,17370582.09
CASA,258315974.28
CASH,1225497160.6499999
CASI,24354972.7
CASS,625963194.46
CASY,8358971845.7
CATC,647524131.6
CATY,3035338575.68
CBAN,223865850.87
CBAT,88100949.42
CBAY,530950265.01
CBFV,109125931.72
CBIO,19916592.785
CBNK,330916963.3
CBRG,295550000.0
CBRL,2103336193.08
CBSH,8530545877.859999
CCAI,
CCAP,394740460.79999995
CCB,615955570.5600001
CCBG,551258890.0
CCCC,288846341.3
CCCS,5400189658.5
CCD,534396370.61999995
CCEP,25278892329.84
CCLP,187845824.46
CCNC,3837409.6768
CCNE,502453031.34
CCOI,2740413197.36
CCRN,990940505.05
CCSI,1065944463.36
CCTS,162236250.0
CDAK,14643459.297600001
CDAQ,266037112.2
CDIO,10085627.58
CDLX,191698595.66
CDMO,857999928.51
CDNA,610860444.67
CDNS,44066122240.0
CDRO,116414646.48
CDTX,54164762.223299995
CDW,24178121565.56
CDXC,125107363.92
CDXS,306101475.92
CDZI,139559525.0
CEAD,6682133.557399999
CECO,400279369.92
CEG,28192212727.949997
CELC,216590943.39
CELH,7930469912.040001
CELU,187067173.77
CELZ,5364457.3506
CEMI,8064851.7378
CENN,114975397.68
CENQ,198162997.5
CENT,2026259064.2
CENTA,1936984632.8
CENX,747220333.22
CERE,4930413290.08
CERS,647586441.9499999
CERT,2565945061.79
CETX,3436244.4872000003
CEVA,593140163.74
CFB,603346649.8
CFBK,137373310.56
CFFE,101498520.18
CFFI,202674480.92000002
CFFN,1185881446.65
CFFS,237277499.99999997
CFIV,648970000.0
CFLT,6369575186.879999
CFMS,24955626.599999998
CFRX,3775941.216
CFSB,52760083.78
CG,10849982659.28
CGBD,735015963.69
CGC,1122505798.26
CGEM,482899368.6
CGEN,61997256.9951
CGNT,212246674.09
CGNX,8146740591.36
CGO,86742087.78
CGRN,26582201.849999998
CGTX,60839188.2
CHCI,40246416.25
CHCO,1382920278.06
CHDN,7908173164.67
CHEA,148062500.0
CHEF,1273629160.96
CHEK,12760000.000000002
CHI,778594420.96
CHK,12642856104.32
CHKP,15821892509.68
CHMG,214583667.20999998
CHNR,15437467.862081999
CHRD,5692144769.24
CHRS,616001268.96
CHRW,10777478890.08
CHTR,52788470826.200005
CHUY,509295091.90000004
CHW,356363279.46
CHX,5779439268.46
CHY,798228814.45
CIDM,69081959.2866
CIFR,138610620.96
CIGI,3950636785.6800003
CIIG,366203125.0
CINC,537863529.67
CINF,16094101296.12
CING,11309412.0
CISO,372946539.75
CITE,
CIVB,346159193.6
CIZN,76768909.0
CJJD,30521062.0
CKPT,52387117.02
CLAR,290365909.12
CLAY,30150466.930000003
CLBK,2369021704.6400003
CLBT,826870804.12
CLDX,2099239467.67
CLEU,31598333.0
CLFD,1430782271.28
CLGN,92572116.35
CLIN,318722336.7
CLIR,20378693.736
CLMB,141183552.09
CLMT,1336720161.04
CLNE,1156626343.6000001
CLNN,73820010.0
CLOE,
CLOV,444248713.766
CLPS,26461256.640000004
CLPT,207977097.79000002
CLRB,16048815.12
CLRC,102009600.0
CLRO,36407883.6
CLSD,67413618.72000001
CLSK,146291217.24
CLST,67183000.0
CLVR,13551488.084999999
CLWT,11056948.76
CLXT,7204089.685
CMAX,404773947.8
CMBM,585856489.57
CMCA,296987500.0
CMCO,929608794.25
CMCSA,151189602029.18
CMCT,111415479.7
CME,60491880154.72
CMLS,115649357.85
CMND,7816629.720000001
CMPO,77379969.88
CMPR,724059880.72
CMPX,634743109.19
CMRA,24414412.68
CMRX,163763936.22
CMTL,337192251.26
CNCE,279959017.92
CNDT,874476874.8
CNET,16480731.42
CNEY,20100538.92
CNFR,19179628.68
CNGL,304242750.0
CNNB,43669340.75
CNOB,950076007.83
CNSL,413116491.44
CNSP,3202598.4
CNTG,25185848.01
CNTX,10405076.7401
CNTY,209944250.41
CNXA,3273033.5820000004
CNXC,6880298635.599999
CNXN,1232923896.3999999
COCO,772873715.44
COCP,15878850.0
CODA,74487951.72
CODX,77912997.12
COEP,7834764.758200001
COFS,217908204.0
COGT,807968097.0400001
COHR,4868019842.400001
COHU,1526540442.35
COIN,8032313256.41
COKE,4802703296.04
COLB,2369607535.34
COLL,778868613.6
COLM,5439911365.08
COMM,1531369089.6
COMS,17025120.612499997
CONN,164742253.6
CONX,934048800.0000001
COOL,494500000.0
COOP,2831762534.6400003
CORT,2186368534.74
CORZ,28127051.8988
COSM,48288489.36
COST,202562304934.0
COUP,6028858360.9800005
COWN,1081912227.3799999
COYA,45862003.0448
CPAA,
CPAQ,94888491.66
CPAR,452488672.025
CPHC,152549769.06
CPIX,32544285.75
CPLP,277678346.40000004
CPOP,18768620.0
CPRT,29001907669.79
CPRX,1935727110.0000002
CPSH,38840334.339999996
CPSI,395074809.14
CPSS,180885026.1
CPTN,198823974.97
CPZ,298213026.86
CRAI,873523970.5500001
CRBP,13843537.3505
CRBU,383089803.08000004
CRCT,2046987170.55
CRDF,62548036.599999994
CRDL,32488520.82
CRDO,1953398053.97
CREC,274236663.26
CREG,19130935.2
CREX,12643493.079999998
CRGE,256239693.35999998
CRIS,53019098.00000001
CRKN,3835116.3532000002
CRMD,174210605.48
CRMT,460212378.40000004
CRNC,741526146.5300001
CRNT,160949828.66
CRNX,984731710.8000001
CRON,962900047.78
CROX,6695003193.620001
CRSP,3182656750.35
CRSR,1364247886.27
CRUS,4100913562.48
CRVL,2509157183.8700004
CRVS,39570484.35
CRWD,24679323202.0
CRWS,54027834.48
CRZN,256786740.0
CSBR,61149511.5
CSCO,195710029921.32
CSGP,31429007836.8
CSGS,1802110767.6000001
CSII,570436190.52
CSIQ,1985906568.8999999
CSLM,
CSPI,42951650.839999996
CSQ,2132271887.24
CSSE,106341606.4
CSTE,197009149.38
CSTL,620316099.04
CSTR,387014802.88
CSWC,548131984.2
CSWI,1794233075.38
CSX,65132622424.42
CTAQ,524416000.0
CTAS,45885058071.840004
CTBI,822986600.4
CTG,118786129.55999999
CTHR,24958725.4875
CTIB,16701454.64
CTIC,762634160.03
CTKB,1376852795.39
CTLP,315196867.5
CTMX,105734987.2
CTRM,105963298.56000002
CTRN,221273605.92000002
CTSH,29391166696.079998
CTSO,67635358.25
CTXR,115506792.7
CUBA,23659662.080000002
CUE,122671261.8
CUEN,3504944.6678
CULL,85093710.57000001
CURI,60198971.099999994
CUTR,867396437.16
CVAC,1147407913.0800002
CVBF,3600056025.75
CVCO,2015737948.75
CVCY,248483992.98
CVGI,227276817.42
CVGW,521310833.4
CVLG,466497605.3
CVLT,2798393267.92
CVLY,227399599.0
CVRX,377719391.05
CVT,2617094188.8
CVV,37252768.379999995
CWBC,131133652.11
CWBR,4926948.877400001
CWCO,226323198.4
CWST,4098760865.4300003
CXDO,47913639.5
CYAN,6899168.100000001
CYBR,5278872054.85
CYCC,8363639.063
CYCN,28540883.5408
CYN,22687380.143999998
CYRN,4955081.0752
CYRX,850147206.6500001
CYT,58474204.8
CYTH,12044224.16
CYTK,4335992465.82
CYTO,5670663.649999999
CYXT,344865613.44
CZFS,304681358.24
CZNC,354339509.76
